pop	clust1	clust2
halfpounder	0.3397	0.6603
halfpounder	0.4340	0.5660
halfpounder	0.5277	0.4723
halfpounder	0.3858	0.6142
halfpounder	0.4396	0.5604
halfpounder	0.5822	0.4178
halfpounder	0.4854	0.5146
halfpounder	0.5133	0.4867
halfpounder	0.1934	0.8066
halfpounder	0.6458	0.3542
halfpounder	0.4861	0.5139
halfpounder	0.2336	0.7664
halfpounder	0.4586	0.5414
halfpounder	0.3397	0.6603
halfpounder	0.5464	0.4536
halfpounder	0.4648	0.5352
halfpounder	0.4476	0.5524
halfpounder	0.5759	0.4241
halfpounder	0.5523	0.4477
halfpounder	0.4530	0.5470
halfpounder	0.4904	0.5096
halfpounder	0.4667	0.5333
halfpounder	0.5818	0.4182
halfpounder	0.5869	0.4131
halfpounder	0.4885	0.5115
halfpounder	0.5285	0.4715
halfpounder	0.6279	0.3721
halfpounder	0.6063	0.3937
halfpounder	0.6271	0.3729
halfpounder	0.6250	0.3750
halfpounder	0.5486	0.4514
halfpounder	0.6564	0.3436
halfpounder	0.6927	0.3073
halfpounder	0.5436	0.4564
halfpounder	0.5811	0.4189
halfpounder	0.6427	0.3573
halfpounder	0.6602	0.3398
halfpounder	0.5791	0.4209
halfpounder	0.5556	0.4444
halfpounder	0.5684	0.4316
halfpounder	0.5944	0.4056
halfpounder	0.4630	0.5370
halfpounder	0.4331	0.5669
halfpounder	0.5886	0.4114
halfpounder	0.2901	0.7099
halfpounder	0.7040	0.2960
halfpounder	0.4484	0.5516
halfpounder	0.4873	0.5127
halfpounder	0.5610	0.4390
halfpounder	0.2567	0.7433
halfpounder	0.5912	0.4088
halfpounder	0.4791	0.5209
halfpounder	0.5410	0.4590
halfpounder	0.6281	0.3719
halfpounder	0.6134	0.3866
halfpounder	0.5453	0.4547
halfpounder	0.3406	0.6594
halfpounder	0.4852	0.5148
halfpounder	0.6455	0.3545
halfpounder	0.5221	0.4779
halfpounder	0.6276	0.3724
halfpounder	0.6184	0.3816
halfpounder	0.5732	0.4268
halfpounder	0.4322	0.5678
halfpounder	0.5244	0.4756
halfpounder	0.5370	0.4630
halfpounder	0.6323	0.3677
halfpounder	0.5061	0.4939
halfpounder	0.5876	0.4124
halfpounder	0.5143	0.4857
halfpounder	0.6614	0.3386
halfpounder	0.5928	0.4072
halfpounder	0.3573	0.6427
halfpounder	0.4493	0.5507
halfpounder	0.6633	0.3367
halfpounder	0.5484	0.4516
halfpounder	0.1985	0.8015
halfpounder	0.5880	0.4120
halfpounder	0.2530	0.7470
halfpounder	0.7251	0.2749
halfpounder	0.5529	0.4471
halfpounder	0.6471	0.3529
halfpounder	0.6504	0.3496
halfpounder	0.5712	0.4288
halfpounder	0.5289	0.4711
halfpounder	0.7057	0.2943
halfpounder	0.1511	0.8489
halfpounder	0.4637	0.5363
halfpounder	0.5400	0.4600
halfpounder	0.7889	0.2111
halfpounder	0.5712	0.4288
halfpounder	0.5305	0.4695
halfpounder	0.5068	0.4932
halfpounder	0.6041	0.3959
halfpounder	0.5419	0.4581
halfpounder	0.5176	0.4824
halfpounder	0.5686	0.4314
halfpounder	0.5471	0.4529
halfpounder	0.5515	0.4485
halfpounder	0.6232	0.3768
halfpounder	0.6552	0.3448
halfpounder	0.5079	0.4921
halfpounder	0.6543	0.3457
halfpounder	0.5932	0.4068
halfpounder	0.6625	0.3375
halfpounder	0.5601	0.4399
halfpounder	0.5649	0.4351
halfpounder	0.6442	0.3558
halfpounder	0.5931	0.4069
halfpounder	0.2260	0.7740
halfpounder	0.4287	0.5713
halfpounder	0.5881	0.4119
halfpounder	0.5525	0.4475
halfpounder	0.4447	0.5553
halfpounder	0.7402	0.2598
halfpounder	0.5034	0.4966
halfpounder	0.6167	0.3833
halfpounder	0.4651	0.5349
halfpounder	0.6730	0.3270
halfpounder	0.4949	0.5051
halfpounder	0.5359	0.4641
halfpounder	0.5777	0.4223
halfpounder	0.5361	0.4639
halfpounder	0.5448	0.4552
halfpounder	0.4806	0.5194
halfpounder	0.6065	0.3935
halfpounder	0.5109	0.4891
halfpounder	0.1300	0.8700
halfpounder	0.4959	0.5041
halfpounder	0.6744	0.3256
halfpounder	0.6157	0.3843
halfpounder	0.6562	0.3438
halfpounder	0.6064	0.3936
halfpounder	0.4087	0.5913
halfpounder	0.7033	0.2967
halfpounder	0.3475	0.6525
halfpounder	0.5189	0.4811
halfpounder	0.5975	0.4025
halfpounder	0.5076	0.4924
halfpounder	0.3763	0.6237
halfpounder	0.4282	0.5718
halfpounder	0.4887	0.5113
halfpounder	0.6182	0.3818
halfpounder	0.7074	0.2926
halfpounder	0.5150	0.4850
halfpounder	0.6719	0.3281
halfpounder	0.5993	0.4007
halfpounder	0.5393	0.4607
halfpounder	0.6013	0.3987
halfpounder	0.7035	0.2965
halfpounder	0.2141	0.7859
halfpounder	0.5094	0.4906
halfpounder	0.5521	0.4479
halfpounder	0.4985	0.5015
halfpounder	0.4144	0.5856
halfpounder	0.6369	0.3631
halfpounder	0.6150	0.3850
halfpounder	0.5921	0.4079
halfpounder	0.7717	0.2283
halfpounder	0.5108	0.4892
halfpounder	0.7053	0.2947
halfpounder	0.5381	0.4619
halfpounder	0.4207	0.5793
halfpounder	0.5975	0.4025
halfpounder	0.5394	0.4606
halfpounder	0.2305	0.7695
halfpounder	0.4058	0.5942
halfpounder	0.4261	0.5739
halfpounder	0.5117	0.4883
halfpounder	0.5679	0.4321
halfpounder	0.6308	0.3692
halfpounder	0.7020	0.2980
halfpounder	0.6702	0.3298
halfpounder	0.5255	0.4745
halfpounder	0.6335	0.3665
halfpounder	0.6170	0.3830
halfpounder	0.4263	0.5737
halfpounder	0.6445	0.3555
halfpounder	0.4463	0.5537
halfpounder	0.6084	0.3916
halfpounder	0.4331	0.5669
halfpounder	0.3633	0.6367
halfpounder	0.5262	0.4738
halfpounder	0.6313	0.3687
halfpounder	0.5907	0.4093
halfpounder	0.6572	0.3428
halfpounder	0.6181	0.3819
halfpounder	0.4139	0.5861
halfpounder	0.3380	0.6620
halfpounder	0.5224	0.4776
halfpounder	0.4487	0.5513
halfpounder	0.4167	0.5833
halfpounder	0.6569	0.3431
halfpounder	0.6965	0.3035
halfpounder	0.4091	0.5909
halfpounder	0.6553	0.3447
halfpounder	0.5505	0.4495
halfpounder	0.7369	0.2631
halfpounder	0.5394	0.4606
halfpounder	0.5201	0.4799
halfpounder	0.5732	0.4268
halfpounder	0.4093	0.5907
halfpounder	0.4058	0.5942
halfpounder	0.3320	0.6680
halfpounder	0.6285	0.3715
halfpounder	0.3861	0.6139
halfpounder	0.6011	0.3989
halfpounder	0.4905	0.5095
halfpounder	0.3936	0.6064
halfpounder	0.5628	0.4372
halfpounder	0.4587	0.5413
halfpounder	0.5750	0.4250
halfpounder	0.5464	0.4536
halfpounder	0.5157	0.4843
halfpounder	0.4997	0.5003
halfpounder	0.3330	0.6670
halfpounder	0.5706	0.4294
halfpounder	0.6212	0.3788
halfpounder	0.7380	0.2620
halfpounder	0.5360	0.4640
halfpounder	0.5906	0.4094
halfpounder	0.5923	0.4077
halfpounder	0.6168	0.3832
halfpounder	0.3404	0.6596
halfpounder	0.6077	0.3923
halfpounder	0.6142	0.3858
halfpounder	0.5699	0.4301
halfpounder	0.4638	0.5362
halfpounder	0.5758	0.4242
halfpounder	0.5180	0.4820
halfpounder	0.2765	0.7235
halfpounder	0.4425	0.5575
halfpounder	0.6240	0.3760
halfpounder	0.5985	0.4015
halfpounder	0.6452	0.3548
halfpounder	0.4683	0.5317
halfpounder	0.5067	0.4933
halfpounder	0.4477	0.5523
halfpounder	0.5098	0.4902
halfpounder	0.7585	0.2415
halfpounder	0.4512	0.5488
halfpounder	0.5487	0.4513
halfpounder	0.5720	0.4280
halfpounder	0.6672	0.3328
halfpounder	0.6323	0.3677
halfpounder	0.3643	0.6357
halfpounder	0.1709	0.8291
halfpounder	0.4768	0.5232
halfpounder	0.4468	0.5532
halfpounder	0.5372	0.4628
halfpounder	0.4202	0.5798
halfpounder	0.7075	0.2925
halfpounder	0.6978	0.3022
halfpounder	0.6000	0.4000
halfpounder	0.6514	0.3486
halfpounder	0.4450	0.5550
halfpounder	0.5681	0.4319
halfpounder	0.4853	0.5147
halfpounder	0.5298	0.4702
halfpounder	0.3954	0.6046
halfpounder	0.7367	0.2633
halfpounder	0.6465	0.3535
halfpounder	0.4663	0.5337
winter	0.5794	0.4206
halfpounder	0.5306	0.4694
winter	0.6750	0.3250
winter	0.7074	0.2926
winter	0.5619	0.4381
halfpounder	0.5939	0.4061
winter	0.5982	0.4018
summer	0.6359	0.3641
halfpounder	0.5869	0.4131
summer	0.4785	0.5215
summer	0.6295	0.3705
summer	0.6877	0.3123
summer	0.5431	0.4569
summer	0.6582	0.3418
winter	0.4358	0.5642
halfpounder	0.5195	0.4805
winter	0.5704	0.4296
winter	0.6336	0.3664
winter	0.5401	0.4599
winter	0.4425	0.5575
halfpounder	0.3166	0.6834
winter	0.5884	0.4116
summer	0.4131	0.5869
summer	0.6278	0.3722
summer	0.7169	0.2831
summer	0.5630	0.4370
summer	0.6014	0.3986
summer	0.6266	0.3734
winter	0.6562	0.3438
winter	0.5577	0.4423
winter	0.7559	0.2441
winter	0.4875	0.5125
winter	0.5569	0.4431
halfpounder	0.4226	0.5774
winter	0.4854	0.5146
summer	0.5291	0.4709
halfpounder	0.5572	0.4428
summer	0.6696	0.3304
summer	0.4644	0.5356
summer	0.6668	0.3332
summer	0.6944	0.3056
winter	0.5342	0.4658
winter	0.6833	0.3167
winter	0.5394	0.4606
winter	0.5463	0.4537
halfpounder	0.5533	0.4467
winter	0.5861	0.4139
halfpounder	0.5499	0.4501
summer	0.6313	0.3687
summer	0.8043	0.1957
summer	0.5037	0.4963
summer	0.5873	0.4127
summer	0.6055	0.3945
winter	0.5577	0.4423
halfpounder	0.3518	0.6482
winter	0.6202	0.3798
winter	0.6160	0.3840
winter	0.5110	0.4890
winter	0.5807	0.4193
halfpounder	0.5154	0.4846
winter	0.5889	0.4111
halfpounder	0.2161	0.7839
summer	0.7404	0.2596
halfpounder	0.2295	0.7705
summer	0.6085	0.3915
summer	0.5857	0.4143
summer	0.5487	0.4513
summer	0.7038	0.2962
winter	0.5439	0.4561
halfpounder	0.6744	0.3256
winter	0.6130	0.3870
winter	0.5458	0.4542
winter	0.6381	0.3619
winter	0.5276	0.4724
halfpounder	0.4685	0.5315
halfpounder	0.5026	0.4974
summer	0.5228	0.4772
summer	0.5702	0.4298
summer	0.8353	0.1647
summer	0.7083	0.2917
summer	0.7210	0.2790
halfpounder	0.6548	0.3452
winter	0.5987	0.4013
winter	0.5380	0.4620
winter	0.5626	0.4374
winter	0.5465	0.4535
summer	0.4997	0.5003
summer	0.6436	0.3564
summer	0.7172	0.2828
summer	0.6280	0.3720
summer	0.7930	0.2070
halfpounder	0.3575	0.6425
winter	0.6625	0.3375
winter	0.6342	0.3658
winter	0.5902	0.4098
halfpounder	0.4694	0.5306
halfpounder	0.6041	0.3959
summer	0.6451	0.3549
summer	0.5816	0.4184
summer	0.8147	0.1853
summer	0.7285	0.2715
summer	0.6895	0.3105
halfpounder	0.3083	0.6917
halfpounder	0.3917	0.6083
halfpounder	0.5627	0.4373
halfpounder	0.1900	0.8100
halfpounder	0.6514	0.3486
halfpounder	0.4810	0.5190
halfpounder	0.5899	0.4101
halfpounder	0.4671	0.5329
halfpounder	0.1883	0.8117
halfpounder	0.2820	0.7180
halfpounder	0.2146	0.7854
halfpounder	0.5855	0.4145
halfpounder	0.5857	0.4143
halfpounder	0.6312	0.3688
halfpounder	0.5356	0.4644
halfpounder	0.3825	0.6175
halfpounder	0.3574	0.6426
halfpounder	0.4867	0.5133
halfpounder	0.3599	0.6401
halfpounder	0.6511	0.3489
halfpounder	0.1833	0.8167
halfpounder	0.6259	0.3741
halfpounder	0.5913	0.4087
halfpounder	0.4248	0.5752
halfpounder	0.5665	0.4335
halfpounder	0.5552	0.4448
halfpounder	0.5024	0.4976
halfpounder	0.4867	0.5133
halfpounder	0.6979	0.3021
halfpounder	0.6867	0.3133
halfpounder	0.6235	0.3765
halfpounder	0.1904	0.8096
halfpounder	0.5922	0.4078
halfpounder	0.5395	0.4605
halfpounder	0.6980	0.3020
halfpounder	0.4646	0.5354
halfpounder	0.3708	0.6292
halfpounder	0.3580	0.6420
halfpounder	0.6330	0.3670
halfpounder	0.4585	0.5415
halfpounder	0.6569	0.3431
halfpounder	0.6383	0.3617
halfpounder	0.3604	0.6396
halfpounder	0.1449	0.8551
halfpounder	0.6860	0.3140
halfpounder	0.6461	0.3539
halfpounder	0.6020	0.3980
halfpounder	0.2117	0.7883
halfpounder	0.5421	0.4579
halfpounder	0.4997	0.5003
halfpounder	0.5217	0.4783
halfpounder	0.3132	0.6868
halfpounder	0.3332	0.6668
halfpounder	0.2026	0.7974
halfpounder	0.5693	0.4307
halfpounder	0.6605	0.3395
halfpounder	0.6495	0.3505
halfpounder	0.5315	0.4685
halfpounder	0.5714	0.4286
halfpounder	0.3992	0.6008
halfpounder	0.2028	0.7972
halfpounder	0.4011	0.5989
halfpounder	0.2162	0.7838
halfpounder	0.1748	0.8252
halfpounder	0.5390	0.4610
halfpounder	0.2484	0.7516
halfpounder	0.1926	0.8074
halfpounder	0.5958	0.4042
halfpounder	0.5130	0.4870
halfpounder	0.5268	0.4732
