pop	clust1	clust2	clust3
fall	0.8175	0.0923	0.0902
fall	0.7493	0.0831	0.1677
fall	0.0480	0.8348	0.1172
fall	0.5392	0.2299	0.2310
fall	0.3783	0.3938	0.2279
fall	0.0454	0.9080	0.0466
fall	0.7065	0.0842	0.2093
fall	0.6629	0.2379	0.0992
fall	0.1718	0.6027	0.2255
fall	0.0726	0.8502	0.0772
fall	0.0577	0.8731	0.0692
fall	0.5271	0.3868	0.0861
fall	0.3161	0.0742	0.6097
fall	0.7775	0.1199	0.1026
fall	0.1901	0.7010	0.1089
fall	0.2724	0.5489	0.1787
fall	0.6326	0.1940	0.1735
fall	0.1104	0.7941	0.0954
fall	0.6739	0.0695	0.2566
fall	0.5854	0.1823	0.2322
fall	0.2728	0.0641	0.6631
fall	0.6307	0.2533	0.1160
fall	0.5915	0.2520	0.1565
halfpounder	0.2709	0.1341	0.5950
halfpounder	0.5898	0.1640	0.2461
halfpounder	0.7143	0.1684	0.1174
halfpounder	0.1422	0.7202	0.1376
halfpounder	0.1270	0.7198	0.1532
halfpounder	0.0715	0.8649	0.0636
halfpounder	0.2423	0.3986	0.3591
halfpounder	0.1975	0.0907	0.7118
halfpounder	0.0704	0.8691	0.0605
halfpounder	0.7236	0.1078	0.1686
halfpounder	0.0790	0.8762	0.0448
halfpounder	0.6119	0.1640	0.2241
halfpounder	0.2126	0.2850	0.5024
halfpounder	0.3331	0.0664	0.6005
halfpounder	0.2490	0.5513	0.1998
halfpounder	0.1774	0.4271	0.3954
halfpounder	0.2065	0.5335	0.2600
halfpounder	0.1169	0.7536	0.1295
halfpounder	0.8082	0.0745	0.1173
halfpounder	0.6934	0.1556	0.1510
halfpounder	0.3706	0.3710	0.2584
halfpounder	0.6399	0.1257	0.2344
halfpounder	0.6789	0.1727	0.1484
halfpounder	0.1358	0.7789	0.0853
halfpounder	0.1981	0.6417	0.1601
halfpounder	0.2455	0.4455	0.3090
halfpounder	0.5091	0.2458	0.2451
halfpounder	0.5827	0.1013	0.3160
halfpounder	0.2708	0.1068	0.6224
halfpounder	0.0723	0.7041	0.2236
halfpounder	0.3236	0.0653	0.6111
halfpounder	0.4578	0.2693	0.2729
halfpounder	0.2144	0.1451	0.6405
halfpounder	0.7595	0.0701	0.1704
halfpounder	0.4664	0.3187	0.2149
halfpounder	0.2586	0.3790	0.3624
halfpounder	0.7053	0.0622	0.2325
halfpounder	0.7623	0.1338	0.1038
halfpounder	0.4663	0.1512	0.3824
halfpounder	0.1749	0.7112	0.1139
halfpounder	0.3111	0.5518	0.1371
halfpounder	0.1911	0.2477	0.5612
halfpounder	0.4054	0.1926	0.4019
halfpounder	0.3963	0.1146	0.4890
halfpounder	0.4943	0.2239	0.2818
halfpounder	0.1521	0.2496	0.5983
halfpounder	0.1528	0.0630	0.7842
