pop	clust1	clust2	clust3	clust4	clust5
fall	0.0691	0.1152	0.2832	0.3598	0.1727	
fall	0.0477	0.2727	0.1143	0.4751	0.0902	
fall	0.5044	0.1573	0.1545	0.0384	0.1455	
fall	0.1024	0.2875	0.2208	0.0196	0.3697	
fall	0.6181	0.1076	0.1266	0.0432	0.1044	
fall	0.1039	0.2284	0.2332	0.0687	0.3659	
fall	0.0763	0.1546	0.3047	0.0346	0.4298	
fall	0.4062	0.1514	0.3438	0.0393	0.0593	
fall	0.4198	0.1126	0.2397	0.0276	0.2004	
fall	0.1138	0.4322	0.1980	0.0198	0.2361	
fall	0.0551	0.2920	0.0587	0.0124	0.5818	
fall	0.0696	0.3293	0.2349	0.0312	0.3350	
fall	0.0701	0.1074	0.2605	0.4577	0.1042	
fall	0.0327	0.3665	0.1511	0.0288	0.4209	
fall	0.1032	0.1100	0.1196	0.0280	0.6391	
fall	0.0406	0.0783	0.4040	0.3007	0.1763	
fall	0.0515	0.1474	0.1915	0.0490	0.5605	
fall	0.1315	0.2057	0.0643	0.0363	0.5622	
fall	0.1780	0.4226	0.1903	0.0334	0.1756	
fall	0.2999	0.2936	0.1839	0.0799	0.1427	
fall	0.1941	0.1595	0.2359	0.0727	0.3378	
fall	0.1283	0.1095	0.1106	0.2859	0.3658	
fall	0.2102	0.1206	0.2362	0.2220	0.2109	
fall	0.3026	0.0765	0.0972	0.3044	0.2193	
fall	0.4743	0.1359	0.2831	0.0229	0.0838	
fall	0.1985	0.2119	0.2574	0.0432	0.2889	
fall	0.0876	0.2378	0.4036	0.1220	0.1490	
fall	0.0705	0.2052	0.1454	0.4428	0.1362	
fall	0.2483	0.1108	0.3185	0.1438	0.1787	
fall	0.1001	0.2921	0.2285	0.1038	0.2755	
fall	0.7474	0.0469	0.0794	0.0482	0.0780	
fall	0.6519	0.0676	0.1105	0.0785	0.0915	
fall	0.2984	0.1835	0.1425	0.1733	0.2022	
fall	0.2595	0.0934	0.3312	0.0541	0.2618	
fall	0.3231	0.0952	0.1461	0.1666	0.2691	
fall	0.0372	0.1219	0.4718	0.1352	0.2339	
fall	0.1220	0.0906	0.2122	0.1951	0.3800	
fall	0.0855	0.1391	0.2766	0.2405	0.2584	
fall	0.5590	0.0668	0.0653	0.1944	0.1146	
fall	0.3249	0.0944	0.2782	0.0585	0.2439	
fall	0.0604	0.4894	0.1755	0.0758	0.1990	
fall	0.2394	0.1236	0.2350	0.1130	0.2890	
fall	0.1048	0.4700	0.1799	0.0512	0.1941	
fall	0.1036	0.1126	0.2754	0.0295	0.4789	
fall	0.3070	0.0894	0.2711	0.2531	0.0794	
fall	0.3025	0.1234	0.4262	0.0638	0.0842	
fall	0.1593	0.3900	0.2380	0.0408	0.1720	
fall	0.0531	0.3257	0.1539	0.0941	0.3733	
fall	0.0949	0.3602	0.1405	0.0428	0.3616	
fall	0.0214	0.6277	0.0927	0.1918	0.0663	
fall	0.1166	0.1624	0.2552	0.2075	0.2584	
fall	0.0490	0.3807	0.0824	0.0409	0.4470	
fall	0.0427	0.3345	0.3262	0.0396	0.2570	
fall	0.3187	0.1119	0.1918	0.1364	0.2412	
fall	0.4244	0.3024	0.1453	0.0333	0.0947	
fall	0.0720	0.2213	0.2293	0.0205	0.4569	
fall	0.2405	0.0751	0.2228	0.0309	0.4308	
fall	0.0772	0.1202	0.2360	0.0993	0.4673	
fall	0.0477	0.4983	0.2564	0.0873	0.1103	
fall	0.2185	0.1248	0.2353	0.3189	0.1026	
fall	0.0595	0.0608	0.0867	0.7146	0.0784	
fall	0.0323	0.0534	0.0592	0.8152	0.0399	
fall	0.0174	0.0217	0.0255	0.9070	0.0284	
fall	0.0420	0.1057	0.1228	0.4416	0.2880	
fall	0.1762	0.3156	0.2111	0.0272	0.2699	
fall	0.0680	0.1756	0.1557	0.0797	0.5210	
fall	0.0676	0.1151	0.2249	0.5034	0.0889	
fall	0.3334	0.1166	0.1681	0.0228	0.3590	
fall	0.1765	0.2642	0.4225	0.0235	0.1134	
fall	0.1313	0.1225	0.1611	0.4411	0.1441	
fall	0.0490	0.0955	0.2739	0.0229	0.5587	
fall	0.0451	0.2845	0.2095	0.0970	0.3639	
fall	0.0192	0.0366	0.0382	0.8573	0.0487	
fall	0.0266	0.1019	0.4345	0.1224	0.3147	
fall	0.1497	0.1395	0.2629	0.3237	0.1241	
fall	0.0291	0.3645	0.1667	0.2341	0.2055	
fall	0.0804	0.1048	0.2814	0.1285	0.4049	
fall	0.0389	0.1870	0.0719	0.3462	0.3561	
fall	0.2819	0.1230	0.1485	0.2845	0.1622	
fall	0.0493	0.5486	0.0884	0.0289	0.2847	
fall	0.1143	0.3548	0.2300	0.0239	0.2770	
fall	0.2079	0.1261	0.1093	0.4361	0.1207	
fall	0.1608	0.1388	0.2391	0.2865	0.1747	
fall	0.1724	0.1204	0.1853	0.0633	0.4586	
fall	0.0442	0.5568	0.1912	0.0733	0.1344	
fall	0.2064	0.1211	0.4285	0.0636	0.1804	
fall	0.0673	0.4871	0.1236	0.0400	0.2820	
fall	0.0484	0.2146	0.1931	0.2720	0.2719	
fall	0.1040	0.0565	0.0706	0.7021	0.0668	
fall	0.1095	0.1604	0.2895	0.2067	0.2339	
fall	0.1055	0.2128	0.3000	0.1223	0.2594	
fall	0.0491	0.0330	0.0393	0.8547	0.0239	
fall	0.5223	0.1286	0.1900	0.0264	0.1327	
fall	0.2469	0.1623	0.3422	0.1441	0.1045	
fall	0.2353	0.1732	0.3421	0.0243	0.2250	
fall	0.0353	0.1197	0.1653	0.3169	0.3628	
fall	0.2200	0.2123	0.3294	0.0758	0.1625	
fall	0.0314	0.2685	0.2158	0.0511	0.4333	
fall	0.2337	0.1522	0.3346	0.0807	0.1987	
fall	0.0311	0.3489	0.1471	0.0616	0.4114	
fall	0.0156	0.0381	0.0272	0.8905	0.0286	
fall	0.0537	0.1807	0.1112	0.5722	0.0823	
fall	0.3887	0.1343	0.1002	0.1175	0.2594	
fall	0.0301	0.4707	0.1080	0.0456	0.3456	
fall	0.2261	0.1508	0.1913	0.3461	0.0858	
fall	0.1433	0.2095	0.4621	0.0265	0.1587	
fall	0.1913	0.1656	0.2901	0.0770	0.2760	
fall	0.1362	0.3768	0.0969	0.0257	0.3644	
fall	0.0805	0.2414	0.2530	0.1529	0.2722	
fall	0.0433	0.2265	0.0942	0.4165	0.2195	
fall	0.2469	0.2868	0.2060	0.0317	0.2285	
fall	0.2096	0.1775	0.2239	0.1078	0.2812	
